cityname,year,earthquake
EDIRNE,1993,0
ELAZIG,1993,0
ERZINCAN,1993,1
ERZURUM,1993,2
ESKISEHIR,1993,2
GAZIANTEP,1993,1
GIRESUN,1993,0
GUMUSHANE,1993,0
HAKKARI,1993,0
HATAY,1993,0
IGDIR,1993,0
ISPARTA,1993,10
ISTANBUL,1993,66
IZMIR,1993,111
KAHRAMANMARAS,1993,1
KARABUK,1993,0
KARAMAN,1993,1
KARS,1993,1
KASTAMONU,1993,1
KAYSERI,1993,0
KILIS,1993,0
KIRIKKALE,1993,0
KIRKLARELI,1993,11
KIRSEHIR,1993,0
KOCAELI,1993,28
KONYA,1993,0
KUTAHYA,1993,392
MALATYA,1993,0
MANISA,1993,855
MARDIN,1993,0
MERSIN,1993,0
MUGLA,1993,27
MUS,1993,0
NEVSEHIR,1993,0
NIGDE,1993,0
ORDU,1993,0
OSMANIYE,1993,1
RIZE,1993,0
SAKARYA,1993,19
SAMSUN,1993,1
SANLIURFA,1993,1
SIIRT,1993,0
SINOP,1993,0
SIRNAK,1993,0
SIVAS,1993,3
TEKIRDAG,1993,2
TOKAT,1993,4
TRABZON,1993,0
TUNCELI,1993,1
USAK,1993,12
VAN,1993,0
YALOVA,1993,11
YOZGAT,1993,1
ZONGULDAK,1993,0
ADANA,1994,3
ADIYAMAN,1994,0
AFYONKARAHISAR,1994,22
AGRI,1994,0
AKSARAY,1994,1
AMASYA,1994,0
ANKARA,1994,5
ANTALYA,1994,5
ARDAHAN,1994,0
ARTVIN,1994,0
AYDIN,1994,5
BALIKESIR,1994,163
BARTIN,1994,0
BATMAN,1994,0
BAYBURT,1994,1
BILECIK,1994,10
BINGOL,1994,2
BITLIS,1994,0
BOLU,1994,1
BURDUR,1994,14
BURSA,1994,144
CANAKKALE,1994,23
CANKIRI,1994,0
CORUM,1994,0
DENIZLI,1994,36
DIYARBAKIR,1994,1
DUZCE,1994,0
EDIRNE,1994,4
ELAZIG,1994,2
ERZINCAN,1994,1
ERZURUM,1994,1
ESKISEHIR,1994,5
GAZIANTEP,1994,0
GIRESUN,1994,0
GUMUSHANE,1994,0
HAKKARI,1994,0
HATAY,1994,1
IGDIR,1994,0
ISPARTA,1994,4
ISTANBUL,1994,36
IZMIR,1994,123
KAHRAMANMARAS,1994,1
KARABUK,1994,0
KARAMAN,1994,0
KARS,1994,1
KASTAMONU,1994,1
KAYSERI,1994,0
KILIS,1994,0
KIRIKKALE,1994,0
KIRKLARELI,1994,5
KIRSEHIR,1994,0
KOCAELI,1994,104
KONYA,1994,0
KUTAHYA,1994,494
MALATYA,1994,1
MANISA,1994,738
MARDIN,1994,0
MERSIN,1994,0
MUGLA,1994,86
MUS,1994,0
NEVSEHIR,1994,0
NIGDE,1994,0
ORDU,1994,0
OSMANIYE,1994,1
RIZE,1994,0
SAKARYA,1994,26
SAMSUN,1994,0
SANLIURFA,1994,0
SIIRT,1994,1
SINOP,1994,0
SIRNAK,1994,0
SIVAS,1994,0
TEKIRDAG,1994,0
TOKAT,1994,0
TRABZON,1994,0
TUNCELI,1994,0
USAK,1994,2
VAN,1994,0
YALOVA,1994,12
YOZGAT,1994,0
ZONGULDAK,1994,0
ADANA,1995,0
ADIYAMAN,1995,0
AFYONKARAHISAR,1995,60
AGRI,1995,0
AKSARAY,1995,0
AMASYA,1995,1
ANKARA,1995,1
ANTALYA,1995,5
ARDAHAN,1995,1
ARTVIN,1995,0
AYDIN,1995,3
BALIKESIR,1995,64
BARTIN,1995,0
BATMAN,1995,0
BAYBURT,1995,1
BILECIK,1995,6
BINGOL,1995,1
BITLIS,1995,0
BOLU,1995,0
BURDUR,1995,6
BURSA,1995,43
CANAKKALE,1995,4
CANKIRI,1995,2
CORUM,1995,1
DENIZLI,1995,31
DIYARBAKIR,1995,0
DUZCE,1995,3
EDIRNE,1995,0
ELAZIG,1995,0
ERZINCAN,1995,2
ERZURUM,1995,2
ESKISEHIR,1995,15
GAZIANTEP,1995,0
GIRESUN,1995,0
GUMUSHANE,1995,0
HAKKARI,1995,0
HATAY,1995,0
IGDIR,1995,0
ISPARTA,1995,3
ISTANBUL,1995,8
IZMIR,1995,43
KAHRAMANMARAS,1995,0
KARABUK,1995,1
KARAMAN,1995,0
KARS,1995,0
KASTAMONU,1995,0
KAYSERI,1995,0
KILIS,1995,0
KIRIKKALE,1995,0
KIRKLARELI,1995,0
KIRSEHIR,1995,0
KOCAELI,1995,13
KONYA,1995,1
KUTAHYA,1995,88
MALATYA,1995,1
MANISA,1995,123
MARDIN,1995,0
MERSIN,1995,2
MUGLA,1995,86
MUS,1995,3
NEVSEHIR,1995,0
NIGDE,1995,0
ORDU,1995,0
OSMANIYE,1995,2
RIZE,1995,0
SAKARYA,1995,3
SAMSUN,1995,0
SANLIURFA,1995,0
SIIRT,1995,1
SINOP,1995,0
SIRNAK,1995,0
SIVAS,1995,1
TEKIRDAG,1995,2
TOKAT,1995,0
TRABZON,1995,0
TUNCELI,1995,2
USAK,1995,1
VAN,1995,1
YALOVA,1995,4
YOZGAT,1995,0
ZONGULDAK,1995,0
ADANA,1996,0
ADIYAMAN,1996,0
AFYONKARAHISAR,1996,17
AGRI,1996,1
AKSARAY,1996,0
AMASYA,1996,10
ANKARA,1996,2
ANTALYA,1996,3
ARDAHAN,1996,0
ARTVIN,1996,0
AYDIN,1996,1
BALIKESIR,1996,42
BARTIN,1996,0
BATMAN,1996,0
BAYBURT,1996,0
BILECIK,1996,0
BINGOL,1996,3
BITLIS,1996,0
BOLU,1996,0
BURDUR,1996,2
BURSA,1996,19
CANAKKALE,1996,1
CANKIRI,1996,0
CORUM,1996,5
DENIZLI,1996,5
DIYARBAKIR,1996,1
DUZCE,1996,0
EDIRNE,1996,0
ELAZIG,1996,2
ERZINCAN,1996,0
ERZURUM,1996,3
ESKISEHIR,1996,0
GAZIANTEP,1996,1
GIRESUN,1996,0
GUMUSHANE,1996,1
HAKKARI,1996,0
HATAY,1996,0
IGDIR,1996,0
ISPARTA,1996,2
ISTANBUL,1996,0
IZMIR,1996,41
KAHRAMANMARAS,1996,3
KARABUK,1996,0
KARAMAN,1996,0
KARS,1996,1
KASTAMONU,1996,0
KAYSERI,1996,2
KILIS,1996,0
KIRIKKALE,1996,0
KIRKLARELI,1996,1
KIRSEHIR,1996,0
KOCAELI,1996,19
KONYA,1996,0
KUTAHYA,1996,36
MALATYA,1996,3
MANISA,1996,92
MARDIN,1996,0
MERSIN,1996,0
MUGLA,1996,17
MUS,1996,0
NEVSEHIR,1996,0
NIGDE,1996,0
ORDU,1996,0
OSMANIYE,1996,3
RIZE,1996,0
SAKARYA,1996,0
SAMSUN,1996,0
SANLIURFA,1996,0
SIIRT,1996,0
SINOP,1996,0
SIRNAK,1996,0
SIVAS,1996,2
TEKIRDAG,1996,2
TOKAT,1996,1
TRABZON,1996,0
TUNCELI,1996,0
USAK,1996,1
VAN,1996,2
YALOVA,1996,2
YOZGAT,1996,0
ZONGULDAK,1996,0
ADANA,1997,0
ADIYAMAN,1997,0
AFYONKARAHISAR,1997,0
AGRI,1997,0
AKSARAY,1997,0
AMASYA,1997,1
ANKARA,1997,0
ANTALYA,1997,1
ARDAHAN,1997,0
ARTVIN,1997,0
AYDIN,1997,5
BALIKESIR,1997,17
BARTIN,1997,0
BATMAN,1997,0
BAYBURT,1997,0
BILECIK,1997,1
BINGOL,1997,3
BITLIS,1997,3
BOLU,1997,0
BURDUR,1997,0
BURSA,1997,25
CANAKKALE,1997,6
CANKIRI,1997,1
CORUM,1997,0
DENIZLI,1997,17
DIYARBAKIR,1997,1
DUZCE,1997,0
EDIRNE,1997,0
ELAZIG,1997,0
ERZINCAN,1997,2
ERZURUM,1997,2
ESKISEHIR,1997,0
GAZIANTEP,1997,0
GIRESUN,1997,0
GUMUSHANE,1997,0
HAKKARI,1997,0
HATAY,1997,5
IGDIR,1997,0
ISPARTA,1997,2
ISTANBUL,1997,2
IZMIR,1997,12
KAHRAMANMARAS,1997,2
KARABUK,1997,0
KARAMAN,1997,0
KARS,1997,0
KASTAMONU,1997,0
KAYSERI,1997,0
KILIS,1997,0
KIRIKKALE,1997,0
KIRKLARELI,1997,0
KIRSEHIR,1997,0
KOCAELI,1997,24
KONYA,1997,0
KUTAHYA,1997,7
MALATYA,1997,0
MANISA,1997,50
MARDIN,1997,0
MERSIN,1997,0
MUGLA,1997,2
MUS,1997,0
NEVSEHIR,1997,0
NIGDE,1997,0
ORDU,1997,0
OSMANIYE,1997,0
RIZE,1997,0
SAKARYA,1997,7
SAMSUN,1997,0
SANLIURFA,1997,0
SIIRT,1997,0
SINOP,1997,0
SIRNAK,1997,0
