cityname,year,earthquake
KIRIKKALE,2004,1
KIRKLARELI,2004,0
KIRSEHIR,2004,3
KOCAELI,2004,8
KONYA,2004,6
KUTAHYA,2004,38
MALATYA,2004,6
MANISA,2004,56
MARDIN,2004,0
MERSIN,2004,3
MUGLA,2004,80
MUS,2004,1
NEVSEHIR,2004,0
NIGDE,2004,0
ORDU,2004,2
OSMANIYE,2004,7
RIZE,2004,0
SAKARYA,2004,4
SAMSUN,2004,3
SANLIURFA,2004,1
SIIRT,2004,0
SINOP,2004,0
SIRNAK,2004,0
SIVAS,2004,5
TEKIRDAG,2004,3
TOKAT,2004,1
TRABZON,2004,0
TUNCELI,2004,5
USAK,2004,1
VAN,2004,3
YALOVA,2004,7
YOZGAT,2004,0
ZONGULDAK,2004,0
ADANA,2005,3
ADIYAMAN,2005,0
AFYONKARAHISAR,2005,15
AGRI,2005,0
AKSARAY,2005,0
AMASYA,2005,0
ANKARA,2005,18
ANTALYA,2005,9
ARDAHAN,2005,1
ARTVIN,2005,0
AYDIN,2005,10
BALIKESIR,2005,23
BARTIN,2005,0
BATMAN,2005,0
BAYBURT,2005,0
BILECIK,2005,0
BINGOL,2005,26
BITLIS,2005,1
BOLU,2005,1
BURDUR,2005,6
BURSA,2005,6
CANAKKALE,2005,6
CANKIRI,2005,11
CORUM,2005,3
DENIZLI,2005,12
DIYARBAKIR,2005,0
DUZCE,2005,2
EDIRNE,2005,0
ELAZIG,2005,17
ERZINCAN,2005,1
ERZURUM,2005,16
ESKISEHIR,2005,1
GAZIANTEP,2005,0
GIRESUN,2005,1
GUMUSHANE,2005,0
HAKKARI,2005,13
HATAY,2005,0
IGDIR,2005,3
ISPARTA,2005,6
ISTANBUL,2005,0
IZMIR,2005,188
KAHRAMANMARAS,2005,0
KARABUK,2005,2
KARAMAN,2005,0
KARS,2005,0
KASTAMONU,2005,7
KAYSERI,2005,2
KILIS,2005,0
KIRIKKALE,2005,1
KIRKLARELI,2005,0
KIRSEHIR,2005,1
KOCAELI,2005,1
KONYA,2005,7
KUTAHYA,2005,12
MALATYA,2005,6
MANISA,2005,40
MARDIN,2005,0
MERSIN,2005,0
MUGLA,2005,46
MUS,2005,1
NEVSEHIR,2005,0
NIGDE,2005,0
ORDU,2005,0
OSMANIYE,2005,3
RIZE,2005,0
SAKARYA,2005,4
SAMSUN,2005,1
SANLIURFA,2005,2
SIIRT,2005,0
SINOP,2005,0
SIRNAK,2005,1
SIVAS,2005,2
TEKIRDAG,2005,3
TOKAT,2005,7
TRABZON,2005,1
TUNCELI,2005,0
USAK,2005,0
VAN,2005,8
YALOVA,2005,0
YOZGAT,2005,0
ZONGULDAK,2005,1
ADANA,2006,1
ADIYAMAN,2006,3
AFYONKARAHISAR,2006,8
AGRI,2006,2
AKSARAY,2006,0
AMASYA,2006,4
ANKARA,2006,19
ANTALYA,2006,7
ARDAHAN,2006,0
ARTVIN,2006,0
AYDIN,2006,11
BALIKESIR,2006,20
BARTIN,2006,1
BATMAN,2006,1
BAYBURT,2006,0
BILECIK,2006,0
BINGOL,2006,8
BITLIS,2006,5
BOLU,2006,4
BURDUR,2006,3
BURSA,2006,7
CANAKKALE,2006,12
CANKIRI,2006,5
CORUM,2006,6
DENIZLI,2006,10
DIYARBAKIR,2006,0
DUZCE,2006,2
EDIRNE,2006,0
ELAZIG,2006,6
ERZINCAN,2006,12
ERZURUM,2006,9
ESKISEHIR,2006,1
GAZIANTEP,2006,2
GIRESUN,2006,0
GUMUSHANE,2006,0
HAKKARI,2006,2
HATAY,2006,1
IGDIR,2006,0
ISPARTA,2006,1
ISTANBUL,2006,0
IZMIR,2006,38
KAHRAMANMARAS,2006,4
KARABUK,2006,0
KARAMAN,2006,0
KARS,2006,1
KASTAMONU,2006,1
KAYSERI,2006,7
KILIS,2006,0
KIRIKKALE,2006,1
KIRKLARELI,2006,0
KIRSEHIR,2006,0
KOCAELI,2006,0
KONYA,2006,6
KUTAHYA,2006,5
MALATYA,2006,2
MANISA,2006,18
MARDIN,2006,0
MERSIN,2006,2
MUGLA,2006,61
MUS,2006,2
NEVSEHIR,2006,0
NIGDE,2006,1
ORDU,2006,0
OSMANIYE,2006,4
RIZE,2006,0
SAKARYA,2006,6
SAMSUN,2006,0
SANLIURFA,2006,4
SIIRT,2006,0
SINOP,2006,1
SIRNAK,2006,0
SIVAS,2006,4
TEKIRDAG,2006,0
TOKAT,2006,1
TRABZON,2006,0
TUNCELI,2006,1
USAK,2006,0
VAN,2006,3
YALOVA,2006,3
YOZGAT,2006,1
ZONGULDAK,2006,0
ADANA,2007,6
ADIYAMAN,2007,0
AFYONKARAHISAR,2007,2
AGRI,2007,4
AKSARAY,2007,0
AMASYA,2007,0
ANKARA,2007,7
ANTALYA,2007,8
ARDAHAN,2007,0
ARTVIN,2007,0
AYDIN,2007,9
BALIKESIR,2007,16
BARTIN,2007,0
BATMAN,2007,0
BAYBURT,2007,1
BILECIK,2007,0
BINGOL,2007,14
BITLIS,2007,3
BOLU,2007,1
BURDUR,2007,6
BURSA,2007,2
CANAKKALE,2007,7
CANKIRI,2007,0
CORUM,2007,0
DENIZLI,2007,53
DIYARBAKIR,2007,7
DUZCE,2007,1
EDIRNE,2007,0
ELAZIG,2007,14
ERZINCAN,2007,4
ERZURUM,2007,6
ESKISEHIR,2007,1
GAZIANTEP,2007,0
GIRESUN,2007,0
GUMUSHANE,2007,0
HAKKARI,2007,2
HATAY,2007,0
IGDIR,2007,0
ISPARTA,2007,42
ISTANBUL,2007,0
IZMIR,2007,36
KAHRAMANMARAS,2007,3
KARABUK,2007,0
KARAMAN,2007,2
KARS,2007,0
KASTAMONU,2007,1
KAYSERI,2007,0
KILIS,2007,0
KIRIKKALE,2007,3
KIRKLARELI,2007,0
KIRSEHIR,2007,0
KOCAELI,2007,1
KONYA,2007,3
KUTAHYA,2007,6
MALATYA,2007,4
MANISA,2007,11
MARDIN,2007,0
MERSIN,2007,3
MUGLA,2007,23
MUS,2007,1
NEVSEHIR,2007,0
NIGDE,2007,1
ORDU,2007,0
OSMANIYE,2007,2
RIZE,2007,0
SAKARYA,2007,2
SAMSUN,2007,0
SANLIURFA,2007,1
SIIRT,2007,0
SINOP,2007,0
SIRNAK,2007,0
SIVAS,2007,2
TEKIRDAG,2007,0
TOKAT,2007,0
TRABZON,2007,0
TUNCELI,2007,0
USAK,2007,0
VAN,2007,2
YALOVA,2007,0
YOZGAT,2007,0
ZONGULDAK,2007,0
ADANA,2008,3
ADIYAMAN,2008,2
AFYONKARAHISAR,2008,0
AGRI,2008,0
AKSARAY,2008,0
AMASYA,2008,0
ANKARA,2008,8
ANTALYA,2008,9
ARDAHAN,2008,0
ARTVIN,2008,0
AYDIN,2008,9
BALIKESIR,2008,9
BARTIN,2008,0
BATMAN,2008,0
BAYBURT,2008,0
BILECIK,2008,0
BINGOL,2008,1
BITLIS,2008,0
BOLU,2008,3
BURDUR,2008,1
BURSA,2008,1
CANAKKALE,2008,14
CANKIRI,2008,0
CORUM,2008,6
DENIZLI,2008,88
DIYARBAKIR,2008,0
DUZCE,2008,0
EDIRNE,2008,0
ELAZIG,2008,0
ERZINCAN,2008,5
ERZURUM,2008,4
ESKISEHIR,2008,0
GAZIANTEP,2008,0
GIRESUN,2008,0
GUMUSHANE,2008,0
HAKKARI,2008,6
HATAY,2008,1
IGDIR,2008,0
ISPARTA,2008,1
ISTANBUL,2008,0
IZMIR,2008,18
KAHRAMANMARAS,2008,1
KARABUK,2008,0
KARAMAN,2008,0
KARS,2008,1
KASTAMONU,2008,0
KAYSERI,2008,2
KILIS,2008,0
KIRIKKALE,2008,1
KIRKLARELI,2008,0
KIRSEHIR,2008,0
KOCAELI,2008,0
KONYA,2008,0
KUTAHYA,2008,2
MALATYA,2008,0
MANISA,2008,9
MARDIN,2008,0
MERSIN,2008,0
MUGLA,2008,17
MUS,2008,3
NEVSEHIR,2008,0
NIGDE,2008,0
ORDU,2008,0
OSMANIYE,2008,0
RIZE,2008,0
SAKARYA,2008,1
SAMSUN,2008,0
SANLIURFA,2008,1
SIIRT,2008,0
SINOP,2008,0
SIRNAK,2008,0
SIVAS,2008,0
TEKIRDAG,2008,1
TOKAT,2008,1
TRABZON,2008,0
TUNCELI,2008,1
USAK,2008,0
VAN,2008,1
YALOVA,2008,1
YOZGAT,2008,0
ZONGULDAK,2008,0
ADANA,2009,1
ADIYAMAN,2009,0
AFYONKARAHISAR,2009,0
AGRI,2009,0
AKSARAY,2009,0
AMASYA,2009,0
ANKARA,2009,0
ANTALYA,2009,0
ARDAHAN,2009,0
ARTVIN,2009,0
AYDIN,2009,5
BALIKESIR,2009,0
BARTIN,2009,0
BATMAN,2009,0
BAYBURT,2009,0
BILECIK,2009,0
BINGOL,2009,0
BITLIS,2009,0
BOLU,2009,0
BURDUR,2009,1
BURSA,2009,0
CANAKKALE,2009,1
CANKIRI,2009,0
CORUM,2009,0
DENIZLI,2009,1
DIYARBAKIR,2009,0
DUZCE,2009,0
EDIRNE,2009,0
ELAZIG,2009,0
ERZINCAN,2009,1
ERZURUM,2009,1
ESKISEHIR,2009,0
GAZIANTEP,2009,0
GIRESUN,2009,0
GUMUSHANE,2009,0
HAKKARI,2009,0
HATAY,2009,1
IGDIR,2009,0
ISPARTA,2009,0
ISTANBUL,2009,0
IZMIR,2009,0
KAHRAMANMARAS,2009,0
KARABUK,2009,0
KARAMAN,2009,0
KARS,2009,0
KASTAMONU,2009,1
KAYSERI,2009,0
KILIS,2009,0
KIRIKKALE,2009,0
KIRKLARELI,2009,0
KIRSEHIR,2009,0
KOCAELI,2009,0
KONYA,2009,2
KUTAHYA,2009,1
MALATYA,2009,1
MANISA,2009,0
MARDIN,2009,0
MERSIN,2009,0
MUGLA,2009,0
MUS,2009,1
NEVSEHIR,2009,0
NIGDE,2009,0
ORDU,2009,0
OSMANIYE,2009,1
RIZE,2009,0
SAKARYA,2009,0
SAMSUN,2009,0
SANLIURFA,2009,0
SIIRT,2009,0
SINOP,2009,0
SIRNAK,2009,0
SIVAS,2009,0
TEKIRDAG,2009,0
TOKAT,2009,0
TRABZON,2009,0
TUNCELI,2009,0
USAK,2009,0
VAN,2009,0
YALOVA,2009,0
YOZGAT,2009,0
ZONGULDAK,2009,0
ADANA,2010,1
ADIYAMAN,2010,1
AFYONKARAHISAR,2010,0
AGRI,2010,0
AKSARAY,2010,0
AMASYA,2010,0
ANKARA,2010,2
ANTALYA,2010,3
ARDAHAN,2010,0
ARTVIN,2010,0
AYDIN,2010,1
BALIKESIR,2010,1
BARTIN,2010,0
BATMAN,2010,0
BAYBURT,2010,0
BILECIK,2010,0
BINGOL,2010,1
BITLIS,2010,0
BOLU,2010,0
BURDUR,2010,0
BURSA,2010,0
CANAKKALE,2010,0
CANKIRI,2010,0
CORUM,2010,1
DENIZLI,2010,0
DIYARBAKIR,2010,0
DUZCE,2010,0
EDIRNE,2010,0
ELAZIG,2010,10
ERZINCAN,2010,1
ERZURUM,2010,0
ESKISEHIR,2010,0
GAZIANTEP,2010,0
GIRESUN,2010,0
GUMUSHANE,2010,0
HAKKARI,2010,0
HATAY,2010,0
IGDIR,2010,0
ISPARTA,2010,0
ISTANBUL,2010,0
IZMIR,2010,3
KAHRAMANMARAS,2010,0
KARABUK,2010,0
KARAMAN,2010,0
KARS,2010,0
KASTAMONU,2010,0
KAYSERI,2010,0
KILIS,2010,0
KIRIKKALE,2010,0
KIRKLARELI,2010,0
KIRSEHIR,2010,0
KOCAELI,2010,0
KONYA,2010,0
KUTAHYA,2010,1
MALATYA,2010,0
MANISA,2010,0
MARDIN,2010,0
MERSIN,2010,0
MUGLA,2010,1
MUS,2010,1
NEVSEHIR,2010,0
NIGDE,2010,0
ORDU,2010,0
OSMANIYE,2010,1
RIZE,2010,0
SAKARYA,2010,0
SAMSUN,2010,0
SANLIURFA,2010,0
SIIRT,2010,0
SINOP,2010,0
SIRNAK,2010,0
SIVAS,2010,2
TEKIRDAG,2010,0
TOKAT,2010,0
TRABZON,2010,0
TUNCELI,2010,2
USAK,2010,0
VAN,2010,0
YALOVA,2010,0
YOZGAT,2010,0
ZONGULDAK,2010,0
ADANA,2011,2
ADIYAMAN,2011,0
AFYONKARAHISAR,2011,1
AGRI,2011,0
AKSARAY,2011,0
AMASYA,2011,0
ANKARA,2011,0
ANTALYA,2011,0
ARDAHAN,2011,0
ARTVIN,2011,0
AYDIN,2011,1
BALIKESIR,2011,2
BARTIN,2011,0
BATMAN,2011,0
BAYBURT,2011,0
BILECIK,2011,1
BINGOL,2011,2
BITLIS,2011,2
BOLU,2011,0
BURDUR,2011,1
BURSA,2011,0
CANAKKALE,2011,0
CANKIRI,2011,0
CORUM,2011,0
DENIZLI,2011,1
DIYARBAKIR,2011,0
DUZCE,2011,0
EDIRNE,2011,0
ELAZIG,2011,2
ERZINCAN,2011,3
ERZURUM,2011,0
ESKISEHIR,2011,0
GAZIANTEP,2011,0
GIRESUN,2011,0
GUMUSHANE,2011,0
HAKKARI,2011,2
HATAY,2011,0
IGDIR,2011,0
ISPARTA,2011,0
ISTANBUL,2011,0
IZMIR,2011,0
KAHRAMANMARAS,2011,1
KARABUK,2011,0
KARAMAN,2011,0
KARS,2011,0
KASTAMONU,2011,0
KAYSERI,2011,2
KILIS,2011,0
KIRIKKALE,2011,0
KIRKLARELI,2011,0
KIRSEHIR,2011,0
KOCAELI,2011,1
KONYA,2011,1
KUTAHYA,2011,17
MALATYA,2011,0
MANISA,2011,0
MARDIN,2011,0
MERSIN,2011,0
MUGLA,2011,3
MUS,2011,5
NEVSEHIR,2011,0
NIGDE,2011,1
ORDU,2011,0
OSMANIYE,2011,0
RIZE,2011,0
SAKARYA,2011,0
SAMSUN,2011,0
SANLIURFA,2011,0
SIIRT,2011,0
SINOP,2011,0
SIRNAK,2011,1
SIVAS,2011,0
TEKIRDAG,2011,0
TOKAT,2011,0
TRABZON,2011,0
TUNCELI,2011,1
USAK,2011,0
VAN,2011,154
YALOVA,2011,0
YOZGAT,2011,0
ZONGULDAK,2011,0
ADANA,2012,2
ADIYAMAN,2012,1
AFYONKARAHISAR,2012,2
AGRI,2012,2
AKSARAY,2012,0
AMASYA,2012,0
ANKARA,2012,0
ANTALYA,2012,0
ARDAHAN,2012,0
ARTVIN,2012,0
AYDIN,2012,0
BALIKESIR,2012,1
BARTIN,2012,0
BATMAN,2012,0
BAYBURT,2012,0
BILECIK,2012,0
BINGOL,2012,1
BITLIS,2012,1
BOLU,2012,0
BURDUR,2012,0
BURSA,2012,0
CANAKKALE,2012,1
CANKIRI,2012,0
CORUM,2012,0
DENIZLI,2012,1
DIYARBAKIR,2012,1
DUZCE,2012,0
EDIRNE,2012,0
ELAZIG,2012,0
ERZINCAN,2012,0
ERZURUM,2012,0
ESKISEHIR,2012,0
GAZIANTEP,2012,1
GIRESUN,2012,0
GUMUSHANE,2012,0
HAKKARI,2012,0
HATAY,2012,0
IGDIR,2012,0
ISPARTA,2012,0
ISTANBUL,2012,0
IZMIR,2012,1
KAHRAMANMARAS,2012,7
KARABUK,2012,0
KARAMAN,2012,0
KARS,2012,0
KASTAMONU,2012,0
KAYSERI,2012,0
KILIS,2012,1
KIRIKKALE,2012,0
KIRKLARELI,2012,0
KIRSEHIR,2012,1
KOCAELI,2012,0
KONYA,2012,0
KUTAHYA,2012,15
MALATYA,2012,1
MANISA,2012,5
MARDIN,2012,0
MERSIN,2012,0
MUGLA,2012,4
MUS,2012,1
NEVSEHIR,2012,0
NIGDE,2012,0
ORDU,2012,0
OSMANIYE,2012,1
RIZE,2012,0
SAKARYA,2012,0
SAMSUN,2012,0
SANLIURFA,2012,0
SIIRT,2012,1
SINOP,2012,0
SIRNAK,2012,2
SIVAS,2012,0
TEKIRDAG,2012,0
TOKAT,2012,0
TRABZON,2012,0
TUNCELI,2012,1
USAK,2012,0
VAN,2012,28
YALOVA,2012,0
YOZGAT,2012,1
ZONGULDAK,2012,0
ADANA,2013,1
ADIYAMAN,2013,2
AFYONKARAHISAR,2013,1
AGRI,2013,1
AKSARAY,2013,0
AMASYA,2013,1
ANKARA,2013,0
ANTALYA,2013,1
ARDAHAN,2013,0
ARTVIN,2013,0
AYDIN,2013,0
BALIKESIR,2013,0
BARTIN,2013,1
BATMAN,2013,0
BAYBURT,2013,0
BILECIK,2013,0
BINGOL,2013,1
BITLIS,2013,0
BOLU,2013,1
BURDUR,2013,0
BURSA,2013,2
CANAKKALE,2013,0
CANKIRI,2013,0
CORUM,2013,1
DENIZLI,2013,0
DIYARBAKIR,2013,0
DUZCE,2013,0
EDIRNE,2013,0
ELAZIG,2013,0
ERZINCAN,2013,0
ERZURUM,2013,2
ESKISEHIR,2013,0
GAZIANTEP,2013,0
GIRESUN,2013,0
GUMUSHANE,2013,0
HAKKARI,2013,0
HATAY,2013,0
IGDIR,2013,0
ISPARTA,2013,0
ISTANBUL,2013,0
IZMIR,2013,0
KAHRAMANMARAS,2013,4
KARABUK,2013,0
KARAMAN,2013,0
KARS,2013,0
KASTAMONU,2013,1
KAYSERI,2013,0
KILIS,2013,0
KIRIKKALE,2013,0
KIRKLARELI,2013,0
KIRSEHIR,2013,0
KOCAELI,2013,0
KONYA,2013,0
KUTAHYA,2013,2
MALATYA,2013,0
MANISA,2013,1
MARDIN,2013,0
MERSIN,2013,0
MUGLA,2013,3
MUS,2013,2
NEVSEHIR,2013,0
NIGDE,2013,0
ORDU,2013,0
OSMANIYE,2013,1
RIZE,2013,0
SAKARYA,2013,0
SAMSUN,2013,0
SANLIURFA,2013,0
SIIRT,2013,0
SINOP,2013,0
SIRNAK,2013,0
SIVAS,2013,0
TEKIRDAG,2013,0
TOKAT,2013,0
TRABZON,2013,0
TUNCELI,2013,0
USAK,2013,0
VAN,2013,12
YALOVA,2013,0
YOZGAT,2013,0
ZONGULDAK,2013,0
ADANA,2014,1
ADIYAMAN,2014,0
AFYONKARAHISAR,2014,0
AGRI,2014,0
AKSARAY,2014,0
AMASYA,2014,0
ANKARA,2014,0
ANTALYA,2014,1
ARDAHAN,2014,0
ARTVIN,2014,0
AYDIN,2014,0
BALIKESIR,2014,2
BARTIN,2014,0
BATMAN,2014,0
BAYBURT,2014,0
BILECIK,2014,0
BINGOL,2014,0
BITLIS,2014,1
BOLU,2014,0
BURDUR,2014,1
BURSA,2014,0
CANAKKALE,2014,1
CANKIRI,2014,0
CORUM,2014,0
DENIZLI,2014,1
DIYARBAKIR,2014,0
DUZCE,2014,0
EDIRNE,2014,0
ELAZIG,2014,0
ERZINCAN,2014,0
ERZURUM,2014,1
ESKISEHIR,2014,0
GAZIANTEP,2014,0
GIRESUN,2014,0
GUMUSHANE,2014,0
HAKKARI,2014,0
HATAY,2014,0
IGDIR,2014,0
ISPARTA,2014,1
ISTANBUL,2014,0
IZMIR,2014,2
KAHRAMANMARAS,2014,1
KARABUK,2014,0
KARAMAN,2014,0
KARS,2014,0
KASTAMONU,2014,0
KAYSERI,2014,0
KILIS,2014,0
KIRIKKALE,2014,0
KIRKLARELI,2014,0
KIRSEHIR,2014,0
KOCAELI,2014,0
KONYA,2014,1
KUTAHYA,2014,3
MALATYA,2014,1
MANISA,2014,2
MARDIN,2014,0
MERSIN,2014,0
MUGLA,2014,6
MUS,2014,0
NEVSEHIR,2014,0
NIGDE,2014,0
ORDU,2014,0
OSMANIYE,2014,1
RIZE,2014,0
SAKARYA,2014,1
SAMSUN,2014,0
SANLIURFA,2014,0
SIIRT,2014,0
SINOP,2014,0
SIRNAK,2014,0
SIVAS,2014,1
TEKIRDAG,2014,0
TOKAT,2014,0
TRABZON,2014,0
TUNCELI,2014,1
USAK,2014,0
VAN,2014,6
YALOVA,2014,1
YOZGAT,2014,0
ZONGULDAK,2014,0
ADANA,2015,0
ADIYAMAN,2015,0
AFYONKARAHISAR,2015,0
AGRI,2015,0
AKSARAY,2015,0
AMASYA,2015,0
ANKARA,2015,2
ANTALYA,2015,5
ARDAHAN,2015,0
ARTVIN,2015,0
AYDIN,2015,0
BALIKESIR,2015,0
BARTIN,2015,0
BATMAN,2015,0
BAYBURT,2015,0
BILECIK,2015,0
BINGOL,2015,6
BITLIS,2015,0
BOLU,2015,1
BURDUR,2015,1
BURSA,2015,1
CANAKKALE,2015,3
CANKIRI,2015,0
CORUM,2015,0
DENIZLI,2015,2
DIYARBAKIR,2015,0
DUZCE,2015,0
EDIRNE,2015,0
ELAZIG,2015,0
ERZINCAN,2015,0
ERZURUM,2015,0
ESKISEHIR,2015,1
GAZIANTEP,2015,1
GIRESUN,2015,0
GUMUSHANE,2015,0
HAKKARI,2015,0
HATAY,2015,1
IGDIR,2015,0
ISPARTA,2015,0
ISTANBUL,2015,0
IZMIR,2015,2
KAHRAMANMARAS,2015,2
KARABUK,2015,0
KARAMAN,2015,0
KARS,2015,0
KASTAMONU,2015,1
KAYSERI,2015,0
KILIS,2015,0
KIRIKKALE,2015,0
KIRKLARELI,2015,0
KIRSEHIR,2015,0
KOCAELI,2015,0
KONYA,2015,0
KUTAHYA,2015,2
MALATYA,2015,3
MANISA,2015,0
MARDIN,2015,0
MERSIN,2015,1
MUGLA,2015,3
MUS,2015,0
NEVSEHIR,2015,0
NIGDE,2015,0
ORDU,2015,0
OSMANIYE,2015,0
RIZE,2015,0
SAKARYA,2015,0
SAMSUN,2015,0
SANLIURFA,2015,0
SIIRT,2015,1
SINOP,2015,0
SIRNAK,2015,0
SIVAS,2015,0
TEKIRDAG,2015,0
TOKAT,2015,1
TRABZON,2015,0
TUNCELI,2015,0
USAK,2015,0
VAN,2015,3
YALOVA,2015,0
YOZGAT,2015,0
ZONGULDAK,2015,0
ADANA,2016,1
ADIYAMAN,2016,0
AFYONKARAHISAR,2016,0
AGRI,2016,0
AKSARAY,2016,0
AMASYA,2016,0
ANKARA,2016,1
ANTALYA,2016,1
ARDAHAN,2016,0
ARTVIN,2016,0
AYDIN,2016,0
BALIKESIR,2016,0
BARTIN,2016,0
BATMAN,2016,0
BAYBURT,2016,0
BILECIK,2016,0
BINGOL,2016,2
BITLIS,2016,2
BOLU,2016,0
BURDUR,2016,0
BURSA,2016,1
CANAKKALE,2016,0
CANKIRI,2016,0
CORUM,2016,1
DENIZLI,2016,1
DIYARBAKIR,2016,0
DUZCE,2016,1
EDIRNE,2016,0
ELAZIG,2016,0
ERZINCAN,2016,1
ERZURUM,2016,0
ESKISEHIR,2016,1
GAZIANTEP,2016,0
GIRESUN,2016,0
GUMUSHANE,2016,0
HAKKARI,2016,0
HATAY,2016,0
IGDIR,2016,0
ISPARTA,2016,0
ISTANBUL,2016,0
IZMIR,2016,0
KAHRAMANMARAS,2016,0
KARABUK,2016,0
KARAMAN,2016,0
KARS,2016,0
KASTAMONU,2016,0
KAYSERI,2016,1
KILIS,2016,0
KIRIKKALE,2016,0
KIRKLARELI,2016,0
KIRSEHIR,2016,1
KOCAELI,2016,0
KONYA,2016,0
KUTAHYA,2016,0
MALATYA,2016,2
MANISA,2016,5
MARDIN,2016,0
MERSIN,2016,0
MUGLA,2016,2
MUS,2016,0
NEVSEHIR,2016,0
NIGDE,2016,0
ORDU,2016,0
OSMANIYE,2016,0
RIZE,2016,0
SAKARYA,2016,0
SAMSUN,2016,0
SANLIURFA,2016,0
SIIRT,2016,0
SINOP,2016,0
SIRNAK,2016,0
SIVAS,2016,1
TEKIRDAG,2016,0
TOKAT,2016,0
TRABZON,2016,0
TUNCELI,2016,0
USAK,2016,0
VAN,2016,4
YALOVA,2016,0
YOZGAT,2016,0
ZONGULDAK,2016,0
ADANA,2017,0
ADIYAMAN,2017,1
AFYONKARAHISAR,2017,0
AGRI,2017,1
AKSARAY,2017,0
AMASYA,2017,0
ANKARA,2017,0
ANTALYA,2017,1
ARDAHAN,2017,0
ARTVIN,2017,0
AYDIN,2017,0
BALIKESIR,2017,2
BARTIN,2017,0
BATMAN,2017,0
BAYBURT,2017,0
BILECIK,2017,0
BINGOL,2017,0
BITLIS,2017,0
BOLU,2017,0
BURDUR,2017,0
BURSA,2017,0
CANAKKALE,2017,15
CANKIRI,2017,0
CORUM,2017,0
DENIZLI,2017,0
DIYARBAKIR,2017,0
DUZCE,2017,0
EDIRNE,2017,0
ELAZIG,2017,1
ERZINCAN,2017,0
ERZURUM,2017,2
ESKISEHIR,2017,1
GAZIANTEP,2017,0
GIRESUN,2017,0
GUMUSHANE,2017,0
HAKKARI,2017,0
HATAY,2017,0
IGDIR,2017,0
ISPARTA,2017,1
ISTANBUL,2017,0
IZMIR,2017,0
KAHRAMANMARAS,2017,2
KARABUK,2017,0
KARAMAN,2017,0
KARS,2017,0
KASTAMONU,2017,0
KAYSERI,2017,0
KILIS,2017,0
KIRIKKALE,2017,0
KIRKLARELI,2017,0
KIRSEHIR,2017,0
KOCAELI,2017,0
KONYA,2017,0
KUTAHYA,2017,0
MALATYA,2017,0
MANISA,2017,12
MARDIN,2017,0
MERSIN,2017,0
MUGLA,2017,15
MUS,2017,0
NEVSEHIR,2017,0
NIGDE,2017,0
ORDU,2017,0
OSMANIYE,2017,1
RIZE,2017,0
SAKARYA,2017,0
SAMSUN,2017,0
SANLIURFA,2017,0
SIIRT,2017,0
SINOP,2017,0
SIRNAK,2017,0
SIVAS,2017,0
TEKIRDAG,2017,0
TOKAT,2017,0
TRABZON,2017,0
TUNCELI,2017,0
USAK,2017,0
VAN,2017,4
YALOVA,2017,0
YOZGAT,2017,0
ZONGULDAK,2017,0
ADANA,2018,1
ADIYAMAN,2018,1
AFYONKARAHISAR,2018,0
AGRI,2018,1
AKSARAY,2018,0
AMASYA,2018,1
ANKARA,2018,0
ANTALYA,2018,5
ARDAHAN,2018,0
ARTVIN,2018,0
AYDIN,2018,0
BALIKESIR,2018,0
BARTIN,2018,0
BATMAN,2018,0
BAYBURT,2018,0
BILECIK,2018,0
BINGOL,2018,1
BITLIS,2018,1
BOLU,2018,1
BURDUR,2018,1
BURSA,2018,0
CANAKKALE,2018,1
CANKIRI,2018,0
CORUM,2018,0
DENIZLI,2018,1
DIYARBAKIR,2018,0
DUZCE,2018,0
EDIRNE,2018,0
ELAZIG,2018,0
ERZINCAN,2018,2
ERZURUM,2018,0
ESKISEHIR,2018,0
GAZIANTEP,2018,0
GIRESUN,2018,0
GUMUSHANE,2018,0
HAKKARI,2018,0
HATAY,2018,1
IGDIR,2018,0
ISPARTA,2018,0
ISTANBUL,2018,0
IZMIR,2018,0
KAHRAMANMARAS,2018,2
KARABUK,2018,0
KARAMAN,2018,0
KARS,2018,0
KASTAMONU,2018,0
KAYSERI,2018,0
KILIS,2018,0
KIRIKKALE,2018,0
KIRKLARELI,2018,0
KIRSEHIR,2018,0
KOCAELI,2018,0
KONYA,2018,0
KUTAHYA,2018,0
MALATYA,2018,1
MANISA,2018,1
MARDIN,2018,0
MERSIN,2018,0
MUGLA,2018,3
MUS,2018,0
NEVSEHIR,2018,0
NIGDE,2018,0
ORDU,2018,0
OSMANIYE,2018,1
RIZE,2018,0
SAKARYA,2018,0
SAMSUN,2018,0
SANLIURFA,2018,0
SIIRT,2018,0
SINOP,2018,0
SIRNAK,2018,1
SIVAS,2018,0
TEKIRDAG,2018,0
TOKAT,2018,0
TRABZON,2018,0
TUNCELI,2018,0
USAK,2018,0
VAN,2018,2
YALOVA,2018,2
YOZGAT,2018,0
ZONGULDAK,2018,0
ADANA,2019,2
ADIYAMAN,2019,0
AFYONKARAHISAR,2019,1
AGRI,2019,0
AKSARAY,2019,0
AMASYA,2019,0
ANKARA,2019,1
ANTALYA,2019,2
ARDAHAN,2019,0
ARTVIN,2019,0
AYDIN,2019,0
BALIKESIR,2019,2
BARTIN,2019,0
BATMAN,2019,0
BAYBURT,2019,0
BILECIK,2019,0
BINGOL,2019,2
BITLIS,2019,0
BOLU,2019,0
BURDUR,2019,0
